"","DivBefore","DivAfter","mean","lower","upper"
"1",0.01,0,88.26636,88.086912,88.41317
"2",0.01,0.01,95.93424,95.727311,96.07916
"3",0.01,0.02,92.58526,90.68471,94.485839
"4",0.01,0.03,57.77732,54.659739,61.687138
"5",0.01,0.04,17.40122,15.031993,19.92051
"6",0.01,0.05,4.98978,3.814987,6.51566
"7",0.01,0.06,1.44062,1.090216,1.913294
"8",0.01,0.07,0.40418,0.246883,0.580889
"9",0.01,0.08,0.29838,0.172919,0.446736
"10",0.01,0.09,0.10354,0.049144,0.166242
"11",0.01,0.1,0.1057,0.065792,0.134786
"12",0.02,0,93.49636,93.418055,93.586522
"13",0.02,0.01,97.0757,97.007864,97.14423
"14",0.02,0.02,97.89974,97.837086,97.955053
"15",0.02,0.03,97.8811,97.344121,98.223316
"16",0.02,0.04,95.19038,93.732236,96.252758
"17",0.02,0.05,71.353,68.001244,75.21504
"18",0.02,0.06,49.41034,45.248721,52.828234
"19",0.02,0.07,30.84476,27.274383,34.125958
"20",0.02,0.08,13.6294,11.890631,14.839249
"21",0.02,0.09,7.02374,5.98046,8.172504
"22",0.02,0.1,2.93186,2.464981,3.501736
"23",0.03,0,95.51116,95.451394,95.581451
"24",0.03,0.01,97.5327,97.471215,97.58605
"25",0.03,0.02,98.27648,98.236316,98.314157
"26",0.03,0.03,98.60208,98.558615,98.650801
"27",0.03,0.04,98.68062,98.599758,98.74954
"28",0.03,0.05,98.27614,98.045017,98.514489
"29",0.03,0.06,92.18354,89.743545,94.726687
"30",0.03,0.07,81.33172,78.130751,83.683803
"31",0.03,0.08,68.79008,64.406341,71.624306
"32",0.03,0.09,53.7212,50.626462,56.934768
"33",0.03,0.1,31.18508,28.266826,34.353655
"34",0.04,0,96.536,96.501525,96.569021
"35",0.04,0.01,97.3384,96.715301,97.965284
"36",0.04,0.02,98.46998,98.43819,98.506586
"37",0.04,0.03,98.72124,98.683072,98.749905
"38",0.04,0.04,98.75014,98.498105,98.904556
"39",0.04,0.05,98.50422,97.568493,98.999606
"40",0.04,0.06,98.939,98.86307,99.014534
"41",0.04,0.07,97.57414,96.995153,98.032546
"42",0.04,0.08,88.7779,86.247571,91.607375
"43",0.04,0.09,80.91536,77.741134,83.886242
"44",0.04,0.1,75.041,72.202044,77.935044
"45",0.05,0,97.19262,97.153469,97.233715
"46",0.05,0.01,98.09398,98.044916,98.146485
"47",0.05,0.02,98.6106,98.574851,98.647936
"48",0.05,0.03,98.82842,98.799819,98.859067
"49",0.05,0.04,98.98694,98.959364,99.01731
"50",0.05,0.05,99.06836,99.045103,99.096013
"51",0.05,0.06,99.15642,99.123309,99.193653
"52",0.05,0.07,99.12368,99.066297,99.194373
"53",0.05,0.08,98.64194,98.541838,98.815656
"54",0.05,0.09,96.38372,95.088318,97.474104
"55",0.05,0.1,86.79312,84.246139,89.930656
"56",0.06,0,97.62112,97.594361,97.652486
"57",0.06,0.01,98.26952,98.226466,98.311726
"58",0.06,0.02,98.1378,97.489332,98.751091
"59",0.06,0.03,98.94904,98.921128,98.975992
"60",0.06,0.04,99.06382,99.039872,99.08736
"61",0.06,0.05,99.12422,99.10464,99.146096
"62",0.06,0.06,99.19008,99.170596,99.204661
"63",0.06,0.07,99.2581,99.232083,99.279313
"64",0.06,0.08,99.2335,99.196871,99.284077
"65",0.06,0.09,98.92162,98.804562,99.07105
"66",0.06,0.1,97.83844,97.127026,98.311117
"67",0.07,0,97.92764,97.894604,97.950748
"68",0.07,0.01,98.42264,98.386082,98.457653
"69",0.07,0.02,98.7628,98.733381,98.791972
"70",0.07,0.03,98.40136,97.753007,99.017809
"71",0.07,0.04,99.14204,99.124084,99.165609
"72",0.07,0.05,99.19212,99.169526,99.211639
"73",0.07,0.06,99.26786,99.25153,99.282331
"74",0.07,0.07,99.31426,99.289365,99.333211
"75",0.07,0.08,99.33762,99.317449,99.359195
"76",0.07,0.09,99.31812,99.282539,99.352257
"77",0.07,0.1,99.23264,99.16663,99.288838
"78",0.08,0,98.1504,98.12041,98.182006
"79",0.08,0.01,98.53798,98.506127,98.582048
"80",0.08,0.02,98.22436,97.560206,98.853293
"81",0.08,0.03,98.48962,97.305219,99.106551
"82",0.08,0.04,99.17046,99.142825,99.190117
"83",0.08,0.05,99.24088,99.220799,99.264794
"84",0.08,0.06,99.31328,99.291769,99.329942
"85",0.08,0.07,99.33668,99.317412,99.358206
"86",0.08,0.08,99.39678,99.383851,99.412801
"87",0.08,0.09,99.41112,99.390382,99.429789
"88",0.08,0.1,99.38936,99.35097,99.427873
"89",0.09,0,98.32246,98.297586,98.34264
"90",0.09,0.01,98.62492,98.592836,98.658132
"91",0.09,0.02,98.31372,97.664775,98.930469
"92",0.09,0.03,98.11434,96.885333,99.104331
"93",0.09,0.04,99.21652,99.195866,99.242748
"94",0.09,0.05,99.26326,99.242381,99.283236
"95",0.09,0.06,99.32774,99.312773,99.345911
"96",0.09,0.07,99.37354,99.356349,99.392816
"97",0.09,0.08,99.4326,99.414652,99.447465
"98",0.09,0.09,99.4272,99.413378,99.446121
"99",0.09,0.1,99.44332,99.425644,99.458265
"100",0.1,0,98.46066,98.435939,98.480286
"101",0.1,0.01,98.09496,97.278421,98.755359
"102",0.1,0.02,98.54242,97.740831,98.94835
"103",0.1,0.03,98.52202,97.334163,99.130223
"104",0.1,0.04,98.85246,98.065875,99.256681
"105",0.1,0.05,99.30968,99.290538,99.327755
"106",0.1,0.06,99.3509,99.331886,99.364268
"107",0.1,0.07,99.39874,99.385873,99.412021
"108",0.1,0.08,99.42754,99.406915,99.441645
"109",0.1,0.09,99.47408,99.461509,99.489587
"110",0.1,0.1,99.48914,99.472683,99.501595
